v_id;role
DTL$RNCO_NSO_PURCB_0420415_1_1_3_FCT;SR_0420415_R1_PR1_3,SR_0420415_R1_PR1_3_2,SR_0420415_R1_PR1_3_3,SR_0420415_R1_PR1_3_4
DTL$RNCO_NSO_PURCB_0420415_2_2_1_FCT;SR_0420415_R2_PR2_1
DTL$RNCO_NSO_PURCB_0420415_2_2_2_FCT;SR_0420415_R2_PR2_2
DTL$RNCO_NSO_PURCB_0420415_2_2_3_FCT;SR_0420415_R2_PR2_3
DTL$RNCO_NSO_PURCB_0420415_3_FCT;SR_0420415_R3
DTL$RNCO_NSO_PURCB_0420415_4_4_1_FCT;SR_0420459_R1_2
DTL$RNCO_NSO_PURCB_0420415_4_4_2_1_FCT;SR_0420415_R4_PR4_2_1,SR_0420415_R4_PR4_2_1_1
DTL$RNCO_NSO_PURCB_0420415_4_4_2_FCT;SR_0420415_R4_PR4_2,SR_0420415_R4_PR4_2_dop
DTL$RNCO_NSO_PURCB_0420415_4_4_3_FCT;SR_0420415_R4_PR4_3,SR_0420415_R4_PR4_3_1,SR_0420415_R4_PR4_3_2
DTL$RNCO_NSO_PURCB_0420415_4_4_4_FCT;SR_0420415_R4_PR4_4,SR_0420415_R4_PR4_4_1,SR_0420415_R4_PR4_4_2,SR_0420415_R4_PR4_4_3,SR_0420415_R4_PR4_4_4
DTL$RNCO_NSO_PURCB_0420416_1_FCT;SR_0420416_1
DTL$RNCO_NSO_PURCB_0420416_2_FCT;SR_0420416_2
DTL$RNCO_NSO_PURCB_0420417_FCT;SR_0420417
DTL$RNCO_NSO_PURCB_0420418_1_1_1_FCT;SR_0420418_R1_P1_1
DTL$RNCO_NSO_PURCB_0420418_1_1_2_FCT;SR_0420418_R1_P1_2
DTL$RNCO_NSO_PURCB_0420418_2_2_1_FCT;SR_0420418_R2_P2_1
DTL$RNCO_NSO_PURCB_0420418_2_2_2_FCT;SR_0420418_R2_P2_2
DTL$RNCO_NSO_PURCB_0420418_3_3_1_FCT;SR_0420418_R1_P1_1
DTL$RNCO_NSO_PURCB_0420418_3_3_2_FCT;SR_0420418_R1_P1_2
DTL$RNCO_NSO_PURCB_0420418_4_1_FCT;SR_0420418_R2_1
DTL$RNCO_NSO_PURCB_0420418_4_FCT;SR_0420418_R2
DTL$RNCO_NSO_PURCB_0420418_5_FCT;SR_0420418_R3,SR_0420418_R3_1
DTL$RNCO_NSO_PURCB_0420419_FCT;SR_0420419,SR_0420419_1,SR_0420419_2
DTL$RNCO_NSO_PURCB_0420419_T5_FCT;sr_nfo_3
DTL$RNCO_NSO_PURCB_0420420_1_FCT;SR_0420420_r1,SR_0420420_r1_2,SR_0420420_r1_3
DTL$RNCO_NSO_PURCB_0420420_2_FCT;SR_0420420_r2,SR_0420420_r2_1
DTL$RNCO_NSO_PURCB_0420420_3A_FCT;SR_0420420_r3_a
DTL$RNCO_NSO_PURCB_0420420_3B_FCT;SR_0420420_r3_b
DTL$RNCO_NSO_PURCB_0420420_3_FCT;SR_0420420_r3
DTL$RNCO_NSO_PURCB_0420420_4_FCT;SR_0420420_r4
DTL$RNCO_NSO_PURCB_0420421_A_REF_FCT;SR_0420421_R_A_tab.1
