"role_definition","role_table"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_PURCB_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_PURCB_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_PURCB_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/3_FR_SOCIE_PURCB_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_39_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_39_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_INS_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_39_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_39_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_JTINS_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_39"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_39","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_39_comparative"
